Model,Dataset,Method,Alpha,Alpha K,Alpha S,K,Validity,Prob. Plaus.,Log Dens.,L1,L2
LR,Wine,GCE,100,100,1000,4.67,1.0,0.9,8.44,2.07,0.66
LR,Wine,GCE,100,1000,1,2.0,1.0,0.86,7.68,2.28,0.73
LR,Wine,GCE,100,1000,10,1.67,1.0,0.86,7.65,2.28,0.73
LR,Wine,GCE,100,1000,100,1.67,1.0,0.73,7.5,2.25,0.73
LR,Wine,GCE,100,1000,1000,2.67,1.0,0.79,6.99,2.16,0.7
LR,Wine,GCE,1000,1,1,6.0,1.0,1.0,9.14,2.3,0.74
LR,Wine,GCE,1000,1,10,6.67,1.0,1.0,9.27,2.06,0.65
LR,Wine,GCE,1000,1,100,7.67,1.0,1.0,8.56,2.02,0.63
LR,Wine,GCE,1000,1,1000,7.67,1.0,1.0,8.33,2.22,0.67
LR,Wine,GCE,1000,10,1,3.33,1.0,1.0,8.87,2.36,0.76
LR,Wine,GCE,1000,10,10,3.33,1.0,1.0,8.63,2.39,0.75
LR,Wine,GCE,1000,10,100,5.33,1.0,1.0,8.21,2.28,0.71
LR,Wine,GCE,1000,10,1000,6.0,1.0,1.0,8.14,2.12,0.65
LR,Wine,GCE,1000,100,1,2.67,1.0,1.0,8.42,2.32,0.73
LR,Wine,GCE,1000,100,10,2.67,1.0,1.0,8.28,2.38,0.75
LR,Wine,GCE,1000,100,100,3.33,1.0,1.0,8.07,2.36,0.74
LR,Wine,GCE,1000,100,1000,5.0,1.0,0.98,8.2,2.3,0.71
LR,Wine,GCE,1000,1000,1,2.67,1.0,1.0,8.11,2.44,0.78
LR,Wine,GCE,1000,1000,10,2.33,1.0,1.0,7.72,2.32,0.73
LR,Wine,GCE,1000,1000,100,2.33,1.0,1.0,7.96,2.34,0.74
LR,Wine,GCE,1000,1000,1000,3.0,1.0,1.0,8.06,2.28,0.72
MLP,Blobs,GCE,1,1,1,4.67,1.0,0.88,2.21,0.61,0.44
MLP,Blobs,GCE,1,1,10,12.33,1.0,0.86,2.22,0.61,0.44
MLP,Blobs,GCE,1,1,100,35.67,1.0,0.93,2.24,0.6,0.43
MLP,Blobs,GCE,1,1,1000,60.0,1.0,0.93,2.25,0.59,0.43
MLP,Blobs,GCE,1,10,1,1.0,1.0,0.91,2.18,0.61,0.44
MLP,Blobs,GCE,1,10,10,4.33,1.0,0.89,2.2,0.61,0.44
MLP,Blobs,GCE,1,10,100,14.33,1.0,0.9,2.2,0.61,0.44
MLP,Blobs,GCE,1,10,1000,43.33,1.0,0.92,2.23,0.6,0.43
MLP,Blobs,GCE,1,100,1,1.0,1.0,0.94,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,10,1.0,1.0,0.83,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,100,4.33,1.0,0.88,2.18,0.61,0.44
MLP,Blobs,GCE,1,100,1000,17.33,1.0,0.91,2.22,0.61,0.44
MLP,Blobs,GCE,1,1000,1,1.0,1.0,0.87,2.17,0.61,0.44
MLP,Blobs,GCE,1,1000,10,1.0,1.0,0.87,2.18,0.61,0.44
MLP,Blobs,GCE,1,1000,100,1.0,1.0,0.86,2.18,0.61,0.44
MLP,Blobs,GCE,1,1000,1000,3.67,1.0,0.92,2.19,0.61,0.44
MLP,Blobs,GCE,10,1,1,5.67,1.0,0.96,2.31,0.62,0.45
MLP,Blobs,GCE,10,1,10,9.67,1.0,0.99,2.35,0.61,0.44
MLP,Blobs,GCE,10,1,100,21.33,1.0,0.96,2.38,0.62,0.44
MLP,Blobs,GCE,10,1,1000,44.0,1.0,0.97,2.42,0.62,0.44
MLP,Blobs,GCE,10,10,1,2.0,1.0,0.95,2.32,0.62,0.44
MLP,Blobs,GCE,10,10,10,5.0,1.0,0.95,2.33,0.62,0.45
MLP,Blobs,GCE,10,10,100,13.0,1.0,0.96,2.34,0.62,0.44
MLP,Blobs,GCE,10,10,1000,33.33,1.0,0.98,2.4,0.62,0.44
MLP,Blobs,GCE,10,100,1,1.0,1.0,0.93,2.24,0.62,0.44
MLP,Blobs,GCE,10,100,10,1.0,1.0,0.94,2.26,0.62,0.44
