"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","parameters/counterfactuals/K","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs"
"COUN-7202","2024-05-19 13:48:54","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","30","12.0","1","1.0","0.9800000190734863","1.0","0.011764060578239947","2.9228875637054443","0.4483732730438716","0.628620693385601","0.03727775829520897","1.0407891273498535"
"COUN-7201","2024-05-19 13:48:47","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","20","20.0","1","1.0","0.982300877571106","1.0","0.04272511612221019","2.0351648330688477","0.21119152069056676","0.34120808489027277","0.060021401984674594","1.0281434059143066"
"COUN-7200","2024-05-19 13:48:43","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","20","8.0","1","1.0","0.9800000190734863","1.0","0.011278124581231922","2.9726064205169678","0.4533034539914111","0.6322218602895737","0.039597119992277864","1.041761875152588"
"COUN-7199","2024-05-19 13:48:27","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","10","10.0","1","1.0","0.9469026327133179","1.0","0.04718337661853174","2.0593278408050537","0.34467228241181896","0.5860976589332639","0.04305809555374972","1.0323649644851685"
"COUN-7198","2024-05-19 13:47:59","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","8","8.0","1","1.0","0.9557521939277649","1.0","0.04536273464981032","2.1180686950683594","0.309663692491871","0.5138761963596387","0.049553033880884695","1.0328850746154785"
"COUN-7197","2024-05-19 13:47:39","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","10","7.0","1","1.0","1.0","0.99","0.011364637075775565","2.821453332901001","0.4371126384795809","0.6106255465745926","0.03239238497248582","1.0474796295166016"
"COUN-7196","2024-05-19 13:47:15","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","6","6.0","1","1.0","0.9336283206939697","1.0","0.044327673427962976","2.081493616104126","0.2583970155019268","0.41393929433110543","0.05322529292670778","1.0342466831207275"
"COUN-7195","2024-05-19 13:46:41","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","4","4.0","1","0.991150438785553","0.9241071343421936","1.0","0.04714262474700397","2.0716493129730225","0.28768112356370146","0.4681812793548618","0.04890758368785799","1.0369356870651245"
"COUN-7194","2024-05-19 13:46:12","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","8","7.0","1","1.0","0.8899999856948853","0.99","0.012496506141531562","2.5455663204193115","0.4251929999025252","0.5950245276093483","0.017308060318202558","1.068862795829773"
"COUN-7193","2024-05-19 13:46:04","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","6","6.0","1","1.0","0.9399999976158142","1.0","0.010641048807468252","2.932215929031372","0.44113871908937824","0.6191186648607254","0.038462744358846286","1.0373774766921997"
"COUN-7192","2024-05-19 13:45:53","[""Q1_log_prob_threshold"",""GCE"",""19.05"",""plausability"",""k_ablation""]","GCE","MultilayerPerceptron","BlobsDataset","4","4.0","1","1.0","0.9300000071525574","1.0","0.012201756447353058","2.912125825881958","0.4374004471950471","0.6148913070559502","0.036755258962956144","1.0374704599380493"
"COUN-7191","2024-05-19 13:45:52","[""plausability"",""k_ablation"",""GCE"",""19.05"",""Q1_log_prob_threshold""]","GCE","LogisticRegression","LawDataset","2","2.0","1","1.0","0.9115044474601746","1.0","0.043719146273646974","2.0233139991760254","0.22623784305041614","0.35648419572848133","0.05471271730824708","1.0373729467391968"
