"Id","Creation Time","Tags","parameters/method","parameters/disc_model/model_name","parameters/dataset","metrics/cf/K_vectors","parameters/counterfactuals/origin_class","metrics/cf/valid_cf_disc","metrics/cf/flow_prob_condition_acc","metrics/cf/cf_belongs_to_group","metrics/cf/plausibility","metrics/cf/flow_log_density_cfs","metrics/cf/dissimilarity_proximity_continuous_euclidean","metrics/cf/dissimilarity_proximity_continuous_manhatan","metrics/cf/isolation_forest_scores_cfs","metrics/cf/lof_scores_cfs","parameters/counterfactuals/alpha","parameters/counterfactuals/alpha_k","parameters/counterfactuals/alpha_s"
"COUN-8556","2024-05-19 21:59:26","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","2.0","0","1.0","1.0","1.0","0.5609089931415862","7.120513439178467","0.4909391729315174","1.4902314979893465","0.06634161712415648","1.0518184900283813","10","100","100"
"COUN-8555","2024-05-19 21:59:12","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","4.0","0","1.0","1.0","1.0","0.5430100894286739","7.234055995941162","0.4547981920479776","1.323571322641025","0.0662938345747861","1.046810269355774","10","10","100"
"COUN-8581","2024-05-19 22:05:17","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","1.0","0","1.0","1.0","1.0","0.5522278883317414","8.074913024902344","0.7209232269607228","2.363777795651307","0.06683600545762891","1.045530915260315","1000","100","1"
"COUN-8589","2024-05-19 22:06:53","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","4.0","0","1.0","1.0","1.0","0.5544220951564452","7.818397521972656","0.6871982287934891","2.257044843863696","0.06635465812211029","1.0342023372650146","1000","10","100"
"COUN-8639","2024-05-19 22:20:37","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","8.0","1","1.0","1.0","0.9285714285714286","0.47516537945356685","7.826594829559326","0.6146656548432633","1.9542022084019013","0.07002600104395648","1.040916919708252","100","10","100"
"COUN-8663","2024-05-19 22:29:23","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","WineDataset","5.0","1","1.0","1.0","0.7857142857142857","0.5000865724524409","7.109959125518799","0.6778701433731277","2.072643552773765","0.0574040402765892","1.0626838207244873","1000","1000","1000"
"COUN-7876","2024-05-19 18:19:27","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","BlobsDataset","4.0","1","1.0","1.0","0.93","0.011874966128725541","2.922175884246826","0.44285920828756503","0.6155074998736382","0.038531677569264504","1.0421035289764404","1000","10","1"
"COUN-7727","2024-05-19 17:26:44","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","BlobsDataset","14.0","0","1.0","1.0","0.99","0.01153991643612781","2.6359968185424805","0.38770121331358576","0.5422484898567199","0.016318667598703245","1.058314323425293","100","1","10"
"COUN-7753","2024-05-19 17:38:26","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultinomialLogisticRegression","BlobsDataset","4.0","0","1.0","1.0","0.98","0.00983560509434008","2.980886220932007","0.44244860329921115","0.6213384488224983","0.025699834740781656","1.0365711450576782","1000","10","1"
"COUN-7967","2024-05-19 18:46:21","[""no_plausability"",""Q1_log_prob_threshold"",""all_methods"",""lambda_ablation"",""19.05"",""GCE""]","GCE","LogisticRegression","MoonsDataset","17.0","1","1.0","1.0","0.9565217391304348","0.029301774119222926","0.9376005530357361","0.36275883471395465","0.4948198528535178","0.029958940876801187","1.0610603094100952","10","1","1"
"COUN-8067","2024-05-19 19:22:43","[""lambda_ablation"",""no_plausability"",""Q1_log_prob_threshold"",""19.05"",""all_methods"",""GCE""]","GCE","MultilayerPerceptron","BlobsDataset","5.0","0","1.0","1.0","0.98","0.012703190226719207","2.5474534034729004","0.3805134953975406","0.5351988893747329","0.01008823989810423","1.0779061317443848","100","10","10"
